TimeStamp,   Open Interest   
27/12/2018," 6,712,841.00 "
28/12/2018," 6,102,796.00 "
29/12/2018," 5,249,530.00 "
30/12/2018," 5,303,303.00 "
31/12/2018," 5,591,833.00 "
01/01/2019," 5,712,266.00 "
02/01/2019," 5,956,713.00 "
03/01/2019," 6,221,946.00 "
04/01/2019," 6,455,212.00 "
05/01/2019," 6,531,456.00 "
06/01/2019," 6,835,449.00 "
07/01/2019," 7,159,541.00 "
08/01/2019," 7,262,000.00 "
09/01/2019," 7,501,094.00 "
10/01/2019," 7,390,181.00 "
11/01/2019," 7,346,543.00 "
12/01/2019," 7,461,169.00 "
13/01/2019," 7,476,757.00 "
14/01/2019," 8,091,005.00 "
15/01/2019," 8,279,188.00 "
16/01/2019," 8,147,539.00 "
17/01/2019," 8,181,598.00 "
18/01/2019," 8,294,736.00 "
19/01/2019," 8,279,640.00 "
20/01/2019," 8,243,896.00 "
21/01/2019," 8,166,881.00 "
22/01/2019," 8,106,569.00 "
23/01/2019," 8,108,931.00 "
24/01/2019," 8,633,745.00 "
25/01/2019," 8,748,821.00 "
26/01/2019," 8,684,521.00 "
27/01/2019," 8,293,950.00 "
28/01/2019," 8,489,564.00 "
29/01/2019," 8,483,989.00 "
30/01/2019," 8,441,462.00 "
31/01/2019," 8,546,619.00 "
01/02/2019," 8,311,147.00 "
02/02/2019," 8,219,239.00 "
03/02/2019," 8,449,029.00 "
04/02/2019," 8,220,075.00 "
05/02/2019," 8,418,047.00 "
06/02/2019," 9,140,986.00 "
07/02/2019," 9,582,184.00 "
08/02/2019," 10,124,750.00 "
09/02/2019," 10,590,140.00 "
10/02/2019," 11,778,300.00 "
11/02/2019," 11,569,880.00 "
12/02/2019," 11,701,950.00 "
13/02/2019," 11,620,540.00 "
14/02/2019," 12,032,200.00 "
15/02/2019," 12,782,860.00 "
16/02/2019," 13,582,100.00 "
17/02/2019," 14,407,790.00 "
18/02/2019," 16,495,060.00 "
19/02/2019," 17,562,510.00 "
20/02/2019," 19,107,200.00 "
21/02/2019," 19,232,910.00 "
22/02/2019," 20,571,270.00 "
23/02/2019," 22,494,710.00 "
24/02/2019," 25,360,670.00 "
25/02/2019," 23,953,860.00 "
26/02/2019," 25,918,090.00 "
27/02/2019," 27,312,040.00 "
28/02/2019," 25,022,510.00 "
01/03/2019," 24,022,930.00 "
02/03/2019," 23,780,420.00 "
03/03/2019," 23,750,220.00 "
04/03/2019," 24,347,970.00 "
05/03/2019," 24,227,410.00 "
06/03/2019," 25,151,010.00 "
07/03/2019," 26,782,160.00 "
08/03/2019," 26,690,570.00 "
09/03/2019," 26,828,240.00 "
10/03/2019," 26,640,760.00 "
11/03/2019," 27,589,070.00 "
12/03/2019," 29,365,260.00 "
13/03/2019," 31,389,980.00 "
14/03/2019," 32,373,050.00 "
15/03/2019," 33,470,470.00 "
16/03/2019," 35,434,280.00 "
17/03/2019," 34,577,660.00 "
18/03/2019," 33,591,712.00 "
19/03/2019," 32,633,600.00 "
20/03/2019," 30,596,270.00 "
21/03/2019," 30,390,960.00 "
22/03/2019," 28,730,270.00 "
23/03/2019," 28,109,500.00 "
24/03/2019," 27,289,470.00 "
25/03/2019," 27,422,760.00 "
26/03/2019," 28,039,200.00 "
27/03/2019," 27,545,670.00 "
28/03/2019," 28,223,370.00 "
29/03/2019," 27,172,740.00 "
30/03/2019," 25,171,040.00 "
31/03/2019," 26,691,000.00 "
01/04/2019," 28,821,520.00 "
02/04/2019," 29,309,230.00 "
03/04/2019," 31,560,880.00 "
04/04/2019," 30,711,150.00 "
05/04/2019," 31,130,290.00 "
06/04/2019," 32,490,920.00 "
07/04/2019," 34,068,160.00 "
08/04/2019," 36,873,728.00 "
09/04/2019," 36,112,088.00 "
10/04/2019," 34,653,272.00 "
11/04/2019," 33,098,580.00 "
12/04/2019," 30,832,610.00 "
13/04/2019," 29,883,250.00 "
14/04/2019," 30,119,050.00 "
15/04/2019," 30,924,220.00 "
16/04/2019," 31,991,120.00 "
17/04/2019," 32,363,870.00 "
18/04/2019," 33,513,390.00 "
19/04/2019," 33,832,928.00 "
20/04/2019," 33,577,568.00 "
21/04/2019," 33,773,648.00 "
22/04/2019," 34,492,200.00 "
23/04/2019," 34,935,048.00 "
24/04/2019," 35,545,200.00 "
25/04/2019," 36,215,112.00 "
26/04/2019," 34,864,512.00 "
27/04/2019," 33,782,980.00 "
28/04/2019," 34,381,632.00 "
29/04/2019," 33,849,072.00 "
30/04/2019," 34,084,260.00 "
01/05/2019," 34,277,728.00 "
02/05/2019," 35,724,448.00 "
03/05/2019," 36,532,040.00 "
04/05/2019," 37,548,860.00 "
05/05/2019," 38,263,380.00 "
06/05/2019," 39,515,400.00 "
07/05/2019," 38,920,152.00 "
08/05/2019," 37,920,392.00 "
09/05/2019," 38,648,232.00 "
10/05/2019," 38,344,792.00 "
11/05/2019," 38,056,500.00 "
12/05/2019," 36,981,800.00 "
13/05/2019," 37,012,368.00 "
14/05/2019," 39,798,400.00 "
15/05/2019," 41,590,568.00 "
16/05/2019," 46,812,380.00 "
17/05/2019," 43,852,672.00 "
18/05/2019," 43,380,760.00 "
19/05/2019," 42,066,860.00 "
20/05/2019," 42,056,368.00 "
21/05/2019," 42,571,760.00 "
22/05/2019," 45,209,528.00 "
23/05/2019," 45,810,608.00 "
24/05/2019," 45,905,608.00 "
25/05/2019," 48,028,792.00 "
26/05/2019," 51,179,112.00 "
27/05/2019," 53,621,888.00 "
28/05/2019," 53,746,160.00 "
29/05/2019," 51,496,848.00 "
30/05/2019," 49,113,080.00 "
31/05/2019," 50,060,780.00 "
01/06/2019," 51,763,248.00 "
02/06/2019," 50,700,260.00 "
03/06/2019," 50,476,728.00 "
04/06/2019," 49,551,368.00 "
05/06/2019," 48,585,420.00 "
06/06/2019," 48,334,020.00 "
07/06/2019," 48,260,880.00 "
08/06/2019," 48,571,232.00 "
09/06/2019," 46,960,160.00 "
10/06/2019," 46,623,432.00 "
12/06/2019," 44,670,248.00 "
13/06/2019," 43,638,660.00 "
14/06/2019," 43,791,672.00 "
15/06/2019," 44,686,992.00 "
16/06/2019," 47,950,400.00 "
17/06/2019," 47,856,832.00 "
18/06/2019," 48,892,600.00 "
19/06/2019," 51,840,208.00 "
20/06/2019," 56,247,408.00 "
21/06/2019," 64,967,360.00 "
22/06/2019," 67,409,792.00 "
23/06/2019," 70,177,192.00 "
24/06/2019," 71,129,392.00 "
25/06/2019," 70,513,920.00 "
26/06/2019," 68,771,392.00 "
27/06/2019," 64,157,000.00 "
28/06/2019," 60,198,420.00 "
29/06/2019," 57,464,780.00 "
30/06/2019," 59,614,672.00 "
01/07/2019," 62,217,632.00 "
02/07/2019," 63,555,240.00 "
03/07/2019," 60,212,280.00 "
04/07/2019," 60,174,380.00 "
05/07/2019," 59,375,752.00 "
06/07/2019," 59,916,248.00 "
07/07/2019," 61,728,872.00 "
08/07/2019," 64,420,060.00 "
09/07/2019," 70,450,040.00 "
10/07/2019," 77,169,024.00 "
11/07/2019," 76,561,200.00 "
12/07/2019," 76,448,568.00 "
13/07/2019," 76,795,696.00 "
14/07/2019," 73,346,328.00 "
15/07/2019," 65,499,272.00 "
16/07/2019," 65,380,100.00 "
17/07/2019," 59,589,660.00 "
18/07/2019," 55,343,792.00 "
19/07/2019," 58,872,192.00 "
20/07/2019," 59,015,128.00 "
21/07/2019," 60,722,432.00 "
22/07/2019," 58,606,072.00 "
23/07/2019," 58,134,380.00 "
24/07/2019," 58,056,160.00 "
25/07/2019," 57,194,960.00 "
26/07/2019," 56,999,380.00 "
27/07/2019," 56,394,088.00 "
28/07/2019," 61,679,312.00 "
29/07/2019," 61,846,352.00 "
30/07/2019," 61,230,960.00 "
31/07/2019," 60,725,300.00 "
01/08/2019," 61,959,980.00 "
02/08/2019," 65,456,432.00 "
03/08/2019," 67,587,968.00 "
04/08/2019," 68,687,432.00 "
05/08/2019," 70,194,896.00 "
06/08/2019," 71,298,032.00 "
07/08/2019," 73,221,504.00 "
08/08/2019," 74,800,280.00 "
09/08/2019," 78,643,248.00 "
10/08/2019," 78,709,392.00 "
11/08/2019," 80,953,824.00 "
12/08/2019," 81,744,048.00 "
13/08/2019," 82,441,152.00 "
14/08/2019," 80,205,640.00 "
15/08/2019," 78,952,888.00 "
16/08/2019," 78,349,328.00 "
17/08/2019," 80,219,768.00 "
18/08/2019," 84,560,032.00 "
19/08/2019," 85,131,800.00 "
20/08/2019," 85,245,744.00 "
21/08/2019," 85,188,208.00 "
22/08/2019," 83,254,000.00 "
23/08/2019," 81,314,288.00 "
24/08/2019," 80,492,888.00 "
25/08/2019," 77,406,120.00 "
26/08/2019," 80,340,912.00 "
27/08/2019," 81,446,472.00 "
28/08/2019," 81,131,560.00 "
29/08/2019," 80,924,400.00 "
30/08/2019," 72,436,872.00 "
31/08/2019," 72,227,272.00 "
01/09/2019," 73,645,600.00 "
02/09/2019," 74,628,400.00 "
03/09/2019," 72,797,664.00 "
04/09/2019," 74,884,272.00 "
05/09/2019," 77,946,000.00 "
06/09/2019," 82,559,560.00 "
07/09/2019," 81,808,672.00 "
08/09/2019," 82,611,808.00 "
09/09/2019," 83,370,008.00 "
10/09/2019," 85,540,072.00 "
11/09/2019," 85,742,096.00 "
12/09/2019," 86,840,832.00 "
13/09/2019," 87,477,648.00 "
14/09/2019," 88,379,528.00 "
15/09/2019," 87,528,640.00 "
16/09/2019," 88,599,120.00 "
17/09/2019," 89,153,696.00 "
18/09/2019," 87,979,240.00 "
19/09/2019," 88,938,208.00 "
20/09/2019," 88,791,968.00 "
21/09/2019," 90,043,104.00 "
22/09/2019," 90,654,840.00 "
23/09/2019," 91,712,288.00 "
24/09/2019," 87,430,528.00 "
25/09/2019," 66,553,448.00 "
26/09/2019," 63,619,232.00 "
27/09/2019," 59,027,592.00 "
28/09/2019," 58,136,088.00 "
29/09/2019," 59,124,952.00 "
30/09/2019," 57,920,060.00 "
01/10/2019," 57,033,280.00 "
02/10/2019," 57,110,780.00 "
03/10/2019," 57,244,180.00 "
04/10/2019," 56,328,800.00 "
05/10/2019," 55,931,408.00 "
06/10/2019," 56,971,680.00 "
07/10/2019," 57,222,288.00 "
08/10/2019," 57,052,888.00 "
09/10/2019," 57,951,520.00 "
10/10/2019," 60,921,472.00 "
11/10/2019," 63,198,500.00 "
12/10/2019," 63,303,232.00 "
13/10/2019," 63,083,512.00 "
14/10/2019," 63,528,000.00 "
15/10/2019," 63,659,392.00 "
16/10/2019," 63,174,152.00 "
17/10/2019," 64,146,440.00 "
18/10/2019," 63,032,368.00 "
19/10/2019," 61,765,540.00 "
20/10/2019," 61,078,632.00 "
21/10/2019," 61,394,672.00 "
22/10/2019," 62,360,300.00 "
23/10/2019," 60,784,888.00 "
24/10/2019," 59,416,488.00 "
25/10/2019," 59,643,792.00 "
26/10/2019," 59,780,860.00 "
27/10/2019," 59,680,800.00 "
28/10/2019," 61,051,360.00 "
29/10/2019," 60,819,568.00 "
30/10/2019," 59,151,672.00 "
31/10/2019," 60,918,072.00 "
01/11/2019," 59,799,960.00 "
02/11/2019," 60,648,712.00 "
03/11/2019," 60,967,820.00 "
04/11/2019," 62,240,432.00 "
05/11/2019," 60,692,272.00 "
06/11/2019," 62,324,592.00 "
07/11/2019," 63,176,000.00 "
08/11/2019," 63,816,608.00 "
09/11/2019," 60,946,120.00 "
10/11/2019," 59,854,008.00 "
11/11/2019," 59,198,960.00 "
12/11/2019," 59,009,512.00 "
13/11/2019," 60,557,600.00 "
14/11/2019," 60,461,912.00 "
15/11/2019," 60,988,152.00 "
16/11/2019," 59,253,500.00 "
17/11/2019," 59,257,380.00 "
18/11/2019," 58,961,240.00 "
19/11/2019," 59,914,832.00 "
20/11/2019," 61,001,568.00 "
21/11/2019," 60,273,660.00 "
22/11/2019," 57,276,680.00 "
23/11/2019," 54,467,460.00 "
24/11/2019," 54,812,752.00 "
25/11/2019," 54,545,392.00 "
26/11/2019," 52,046,248.00 "
27/11/2019," 49,519,800.00 "
28/11/2019," 49,480,680.00 "
29/11/2019," 48,913,560.00 "
30/11/2019," 47,106,220.00 "
01/12/2019," 47,282,140.00 "
02/12/2019," 47,123,448.00 "
03/12/2019," 48,416,920.00 "
04/12/2019," 49,656,940.00 "
05/12/2019," 50,148,352.00 "
06/12/2019," 50,317,272.00 "
07/12/2019," 52,520,048.00 "
08/12/2019," 53,073,940.00 "
09/12/2019," 53,087,400.00 "
10/12/2019," 52,117,620.00 "
11/12/2019," 53,053,848.00 "
12/12/2019," 53,544,312.00 "
13/12/2019," 54,590,600.00 "
14/12/2019," 56,623,832.00 "
15/12/2019," 55,414,528.00 "
16/12/2019," 55,253,480.00 "
17/12/2019," 54,878,048.00 "
18/12/2019," 53,336,528.00 "
19/12/2019," 52,941,032.00 "
20/12/2019," 51,788,060.00 "
21/12/2019," 51,080,688.00 "
22/12/2019," 51,793,512.00 "
23/12/2019," 50,833,088.00 "
24/12/2019," 51,794,752.00 "
25/12/2019," 52,441,792.00 "
26/12/2019," 52,965,380.00 "
27/12/2019," 50,808,912.00 "
28/12/2019," 48,797,960.00 "
29/12/2019," 49,284,208.00 "
30/12/2019," 50,688,700.00 "
31/12/2019," 51,513,848.00 "
01/01/2020," 52,355,500.00 "
02/01/2020," 52,831,700.00 "
03/01/2020," 50,689,980.00 "
04/01/2020," 52,538,220.00 "
05/01/2020," 53,288,832.00 "
06/01/2020," 55,407,300.00 "
07/01/2020," 58,521,840.00 "
08/01/2020," 60,930,360.00 "
09/01/2020," 62,198,980.00 "
10/01/2020," 63,027,888.00 "
11/01/2020," 64,796,992.00 "
12/01/2020," 66,422,592.00 "
13/01/2020," 67,504,600.00 "
14/01/2020," 74,590,568.00 "
15/01/2020," 88,887,840.00 "
16/01/2020," 95,249,376.00 "
17/01/2020," 97,856,960.00 "
18/01/2020," 93,343,792.00 "
19/01/2020," 92,790,304.00 "
20/01/2020," 93,762,808.00 "
21/01/2020," 95,536,336.00 "
22/01/2020," 96,289,352.00 "
23/01/2020," 95,266,240.00 "
24/01/2020," 95,873,200.00 "
25/01/2020," 95,624,064.00 "
26/01/2020," 95,756,288.00 "
27/01/2020," 97,498,432.00 "
28/01/2020," 100,467,400.00 "
29/01/2020," 102,335,400.00 "
30/01/2020," 101,969,000.00 "
31/01/2020," 100,838,600.00 "
01/02/2020," 99,361,184.00 "
02/02/2020," 99,415,272.00 "
03/02/2020," 101,596,704.00 "
04/02/2020," 102,662,400.00 "
05/02/2020," 109,422,896.00 "
06/02/2020," 110,695,400.00 "
07/02/2020," 107,893,200.00 "
08/02/2020," 106,830,000.00 "
09/02/2020," 106,034,496.00 "
10/02/2020," 109,928,096.00 "
11/02/2020," 111,425,296.00 "
12/02/2020," 113,022,200.00 "
13/02/2020," 112,797,296.00 "
14/02/2020," 113,000,704.00 "
15/02/2020," 112,493,104.00 "
16/02/2020," 110,813,904.00 "
17/02/2020," 107,387,104.00 "
18/02/2020," 109,019,696.00 "
19/02/2020," 107,654,800.00 "
20/02/2020," 108,310,600.00 "
21/02/2020," 111,415,104.00 "
22/02/2020," 110,805,904.00 "
23/02/2020," 109,391,200.00 "
24/02/2020," 110,008,704.00 "
25/02/2020," 108,124,000.00 "
26/02/2020," 103,210,000.00 "
27/02/2020," 97,985,648.00 "
28/02/2020," 97,289,808.00 "
29/02/2020," 99,261,712.00 "
01/03/2020," 100,226,000.00 "
02/03/2020," 102,602,704.00 "
03/03/2020," 104,873,104.00 "
04/03/2020," 105,963,104.00 "
05/03/2020," 105,446,304.00 "
06/03/2020," 103,051,600.00 "
07/03/2020," 103,036,496.00 "
08/03/2020," 98,353,200.00 "
09/03/2020," 92,392,712.00 "
10/03/2020," 92,240,752.00 "
11/03/2020," 93,813,440.00 "
12/03/2020," 74,997,168.00 "
13/03/2020," 42,943,400.00 "
14/03/2020," 39,592,272.00 "
15/03/2020," 39,407,720.00 "
16/03/2020," 38,872,072.00 "
17/03/2020," 37,363,920.00 "
18/03/2020," 37,634,248.00 "
19/03/2020," 36,143,520.00 "
20/03/2020," 33,320,710.00 "
21/03/2020," 31,851,380.00 "
22/03/2020," 31,811,550.00 "
23/03/2020," 32,481,650.00 "
24/03/2020," 31,442,220.00 "
25/03/2020," 30,940,180.00 "
26/03/2020," 30,755,620.00 "
27/03/2020," 30,783,450.00 "
28/03/2020," 31,713,180.00 "
29/03/2020," 32,632,250.00 "
30/03/2020," 31,942,720.00 "
31/03/2020," 31,757,260.00 "
01/04/2020," 33,199,900.00 "
02/04/2020," 31,881,090.00 "
03/04/2020," 31,496,760.00 "
04/04/2020," 32,525,660.00 "
05/04/2020," 33,288,000.00 "
06/04/2020," 32,616,230.00 "
07/04/2020," 32,403,590.00 "
08/04/2020," 31,927,210.00 "
09/04/2020," 31,943,790.00 "
10/04/2020," 33,817,350.00 "
11/04/2020," 35,702,770.00 "
12/04/2020," 35,416,790.00 "
13/04/2020," 38,624,290.00 "
14/04/2020," 38,612,640.00 "
15/04/2020," 38,514,700.00 "
16/04/2020," 37,864,280.00 "
17/04/2020," 38,087,430.00 "
18/04/2020," 38,613,000.00 "
19/04/2020," 37,557,390.00 "
20/04/2020," 37,110,570.00 "
21/04/2020," 36,374,860.00 "
22/04/2020," 37,703,960.00 "
23/04/2020," 38,087,860.00 "
24/04/2020," 38,130,380.00 "
25/04/2020," 38,192,100.00 "
26/04/2020," 43,403,590.00 "
27/04/2020," 47,062,120.00 "
28/04/2020," 47,553,680.00 "
29/04/2020," 51,137,320.00 "
30/04/2020," 55,303,570.00 "
01/05/2020," 56,221,100.00 "
02/05/2020," 55,319,470.00 "
03/05/2020," 56,312,250.00 "
04/05/2020," 56,649,540.00 "
05/05/2020," 55,763,660.00 "
06/05/2020," 56,246,590.00 "
07/05/2020," 57,003,360.00 "
08/05/2020," 62,094,450.00 "
09/05/2020," 61,696,230.00 "
10/05/2020," 60,162,240.00 "
11/05/2020," 63,299,850.00 "
12/05/2020," 64,129,590.00 "
13/05/2020," 64,768,980.00 "
14/05/2020," 62,214,150.00 "
15/05/2020," 61,923,010.00 "
16/05/2020," 59,323,780.00 "
17/05/2020," 61,253,310.00 "
18/05/2020," 62,702,180.00 "
19/05/2020," 61,397,110.00 "
20/05/2020," 62,584,840.00 "
21/05/2020," 63,813,380.00 "
22/05/2020," 61,744,930.00 "
23/05/2020," 62,559,430.00 "
24/05/2020," 62,608,490.00 "
25/05/2020," 62,584,090.00 "
26/05/2020," 62,147,190.00 "
27/05/2020," 61,723,630.00 "
28/05/2020," 62,920,300.00 "
29/05/2020," 61,900,700.00 "
30/05/2020," 60,606,180.00 "
31/05/2020," 60,808,520.00 "
01/06/2020," 63,285,640.00 "
02/06/2020," 67,252,860.00 "
03/06/2020," 62,898,460.00 "
04/06/2020," 64,646,650.00 "
05/06/2020," 64,313,400.00 "
06/06/2020," 64,513,230.00 "
07/06/2020," 65,149,640.00 "
08/06/2020," 63,659,540.00 "
09/06/2020," 64,017,100.00 "
10/06/2020," 65,901,720.00 "
11/06/2020," 65,227,570.00 "
12/06/2020," 62,309,520.00 "
13/06/2020," 60,148,540.00 "
14/06/2020," 60,343,540.00 "
15/06/2020," 59,464,800.00 "
16/06/2020," 61,028,060.00 "
17/06/2020," 61,967,310.00 "
18/06/2020," 59,961,950.00 "
19/06/2020," 59,864,250.00 "
20/06/2020," 60,798,120.00 "
21/06/2020," 60,121,980.00 "
22/06/2020," 61,082,910.00 "
23/06/2020," 62,150,030.00 "
24/06/2020," 61,371,990.00 "
25/06/2020," 60,446,230.00 "
26/06/2020," 58,821,190.00 "
27/06/2020," 54,912,850.00 "
28/06/2020," 57,126,640.00 "
29/06/2020," 58,052,370.00 "
30/06/2020," 58,419,470.00 "
01/07/2020," 60,482,240.00 "
02/07/2020," 59,385,360.00 "
03/07/2020," 60,011,890.00 "
04/07/2020," 61,210,900.00 "
05/07/2020," 61,655,830.00 "
06/07/2020," 62,170,430.00 "
07/07/2020," 63,815,230.00 "
08/07/2020," 65,701,720.00 "
09/07/2020," 67,948,350.00 "
10/07/2020," 68,226,010.00 "
11/07/2020," 68,431,370.00 "
12/07/2020," 67,980,320.00 "
13/07/2020," 68,902,840.00 "
14/07/2020," 70,294,390.00 "
15/07/2020," 70,958,240.00 "
16/07/2020," 71,639,160.00 "
17/07/2020," 70,884,730.00 "
18/07/2020," 70,284,760.00 "
19/07/2020," 70,921,720.00 "
20/07/2020," 71,208,420.00 "
21/07/2020," 72,419,220.00 "
22/07/2020," 73,173,180.00 "
23/07/2020," 74,583,140.00 "
24/07/2020," 75,095,990.00 "
25/07/2020," 72,746,520.00 "
26/07/2020," 76,348,790.00 "
27/07/2020," 87,122,540.00 "
28/07/2020," 98,861,950.00 "
29/07/2020," 99,555,410.00 "
30/07/2020," 101,608,800.00 "
31/07/2020," 98,298,760.00 "
01/08/2020," 102,202,700.00 "
02/08/2020," 106,565,600.00 "
03/08/2020," 111,757,500.00 "
04/08/2020," 115,782,000.00 "
05/08/2020," 119,075,800.00 "
06/08/2020," 120,424,800.00 "
07/08/2020," 118,768,500.00 "
08/08/2020," 111,102,100.00 "
09/08/2020," 110,939,300.00 "
10/08/2020," 686,237,288.00 "
11/08/2020," 680,030,504.00 "
12/08/2020," 661,964,400.00 "
13/08/2020," 661,157,504.00 "
14/08/2020," 662,299,192.00 "
15/08/2020," 636,322,000.00 "
16/08/2020," 642,188,408.00 "
17/08/2020," 634,210,504.00 "
18/08/2020," 635,073,392.00 "
19/08/2020," 621,442,296.00 "
20/08/2020," 621,370,312.00 "
21/08/2020," 614,036,800.00 "
22/08/2020," 598,429,936.00 "
23/08/2020," 590,752,208.00 "
24/08/2020," 580,001,448.00 "
25/08/2020," 584,021,304.00 "
26/08/2020," 569,850,776.00 "
27/08/2020," 555,944,216.00 "
28/08/2020," 531,246,976.00 "
29/08/2020," 505,998,672.00 "
30/08/2020," 500,340,240.00 "
31/08/2020," 516,315,480.00 "
01/09/2020," 543,304,816.00 "
02/09/2020," 557,350,288.00 "
03/09/2020," 543,357,272.00 "
04/09/2020," 504,175,136.00 "
05/09/2020," 471,088,304.00 "
06/09/2020," 466,502,184.00 "
07/09/2020," 457,619,016.00 "
08/09/2020," 436,048,560.00 "
09/09/2020," 430,268,400.00 "
10/09/2020," 414,864,560.00 "
11/09/2020," 404,879,900.00 "
12/09/2020," 405,830,688.00 "
13/09/2020," 409,674,048.00 "
14/09/2020," 422,158,544.00 "
15/09/2020," 407,274,952.00 "
16/09/2020," 408,425,448.00 "
17/09/2020," 404,343,408.00 "
18/09/2020," 404,719,696.00 "
19/09/2020," 406,410,840.00 "
20/09/2020," 411,143,072.00 "
21/09/2020," 403,852,336.00 "
22/09/2020," 393,910,288.00 "
23/09/2020," 396,210,256.00 "
24/09/2020," 381,598,568.00 "
25/09/2020," 353,833,428.00 "
26/09/2020," 322,694,428.00 "
27/09/2020," 329,629,608.00 "
28/09/2020," 334,520,908.00 "
29/09/2020," 226,120,648.00 "